Name of Redevelopment Project Area,Date Designated,Date Terminated
105thVincennes,10/3/2001,12/31/2025
111thKedzie,9/29/1999,9/29/2022
119thHalsted,2/6/2002,12/31/2026
119thI57,1/6/2002,12/31/2026
126thTorrence,12/21/1994,12/21/2017
134thAvenueK,3/12/2008,12/31/2032
24thMichigan,7/21/1999,7/21/2022
26thKing,1/11/2006,12/31/2030
35thWallace,2/15/1999,12/31/2023
35thHalsted,1/14/1997,12/31/2021
35thState,1/14/2004,12/31/2028
40thState,3/10/2004,12/31/2012
43rdCottageGrove,7/8/1998,12/31/2022
45thWestern,3/27/2002,12/31/2026
47thAshland,3/27/2002,12/31/2026
47thHalsted,5/29/2002,12/31/2026
47thKing,3/27/2002,12/31/2026
47thState,7/21/2004,12/31/2028
49thStLawrence,1/10/1996,12/31/2020
51stArcher,5/17/2000,12/31/2024
51stLakePark,11/15/2012,12/31/2036
53rd,1/10/2001,12/31/2025
60thWestern,5/9/1996,5/9/2019
63rdAshland,3/29/2006,12/31/2030
63rdPulaski,5/17/2000,12/31/2024
67thCicero,10/2/2002,12/31/2026
67thWentworth,5/4/2011,12/31/2035
69thAshland,11/3/2004,12/31/2028
71stStonyIsland,10/7/1998,10/7/2021
72ndCicero,11/17/1993,12/31/2012
73rdKedzie,11/17/1993,12/31/2012
73rdUniversity,9/13/2006,12/31/2030
79thCicero,6/8/2005,12/31/2029
79th,7/8/1998,7/8/2021
79thSWHighway,10/3/2001,12/31/2025
79thVincennes,9/27/2007,12/31/2031
83rdStewart,3/31/2004,12/31/2028
87thCottageGrove,11/13/2002,12/31/2026
89thState,4/1/1998,4/1/2021
95thWestern,7/13/1995,7/13/2018
95thStonyIsland,5/16/1990,12/31/2014
AddisonNorth,6/4/1997,6/4/2020
AddisonSouth,5/9/2007,12/31/2031
ArcherCourts,5/12/1999,12/31/2023
ArcherCentral,5/17/2000,12/31/2024
ArcherWestern,2/11/2009,12/31/2033
ArmitagePulaski,6/13/2007,12/31/2031
AustinCommercial,9/27/2007,12/31/2031
AvalonSouthShore,7/31/2002,12/31/2026
Avondale,7/29/2009,12/31/2033
BelmontCentral,1/12/2000,12/31/2024
BelmontCicero,1/12/2000,12/31/2024
Bronzeville,11/4/1998,12/31/2022
BrynMawrBroadway,12/11/1996,12/11/2019
CalumetCermak,7/29/1998,7/29/2021
CalumetRiver,3/10/2010,12/31/2034
CanalCongress,11/12/1998,12/31/2022
CentralWest,2/16/2000,12/31/2024
ChicagoKingsbury,4/12/2000,12/31/2024
ChicagoCentralPark,2/27/2002,12/31/2026
ChicagoLakeside,5/12/2010,12/31/2034
CiceroArcher,5/17/2000,12/31/2024
ClarkRidge,9/29/1999,9/29/2022
ClarkMontrose,7/7/1999,7/7/2022
Commercial,11/13/2002,12/31/2026
DevonSheridan,3/31/2004,12/31/2028
DevonWestern,11/3/1999,12/31/2023
DiverseyNarragansett,2/5/2003,12/31/2027
DivisionHoman,6/27/2001,12/31/2025
DivisionNorthBranch,3/15/1991,12/31/2012
DivisionHooker,7/10/1996,12/31/2012
Drexel,7/10/2002,12/31/2026
EastmanNorthBranch,10/7/1993,12/31/2012
EdgewaterAshland,10/1/2003,12/31/2027
ElstonArmstrong,7/19/2007,12/31/2031
EnglewoodMall,11/29/1989,12/31/2013
EnglewoodNeighborhood,6/27/2001,12/31/2025
Ewing,3/10/2010,12/31/2034
41stKing,7/13/1994,12/31/2018
FullertonMilwaukee,2/16/2000,12/31/2024
GalewoodArmitage,7/7/1999,7/7/2022
GooseIsland,7/10/1996,7/10/2019
GreaterSouthwestEast,3/10/1999,12/31/2023
GreaterSouthwestWest,4/12/2000,12/31/2024
Harlem,3/14/2007,12/31/2031
HarrisonCentral,7/26/2006,12/31/2030
HollywoodSheridan,11/7/2007,12/31/2031
HomanGrandTrunk,12/15/1993,12/31/2012
HomanArthington,2/5/1998,2/5/2021
HowardPaulina,10/14/1988,12/31/2012
HumboldtPark,6/27/2001,12/31/2025
IrvingParkElston,5/13/2009,12/31/2033
IrvingCicero,6/10/1996,12/31/2020
JeffersonPark,9/9/1998,9/9/2021
JeffersonRoosevelt,8/30/2000,12/31/2024
KennedyKimball,3/12/2008,12/31/2032
Kinzie,6/10/1998,6/10/2021
KostnerAvenue,11/5/2008,12/31/2032
LakeCalumet,12/13/2000,12/31/2024
Lakefront,3/27/2002,12/31/2026
LakesideClarendon,7/21/2004,12/31/2012
LaSalleCentral,11/15/2006,12/31/2030
LawrenceKedzie,2/16/2000,12/31/2024
LawrenceBroadway,6/27/2001,12/31/2025
LawrencePulaski,2/27/2002,12/31/2026
LincolnAvenue,11/3/1999,12/31/2023
LincolnBelmontAshland,11/2/1994,12/31/2018
LittleVillageEast,4/22/2009,12/31/2033
LittleVillage,6/13/2007,12/31/2031
MaddenWells,11/6/2002,12/31/2026
MadisonAustin,9/29/1999,12/31/2023
MichiganCermak,9/13/1989,12/31/2013
Midway,2/16/2000,12/31/2024
Midwest,5/17/2000,12/31/2024
Montclare,8/30/2000,12/31/2024
MontroseClarendon,6/30/2010,12/31/2034
NearNorth,7/30/1997,7/30/2020
NearSouth,11/28/1990,12/31/2014
NearWest,3/23/1989,12/31/2013
NorthBranchNorth,7/2/1997,12/31/2021
NorthBranchSouth,2/5/1998,2/5/2021
NorthPullman,6/30/2009,12/31/2033
NorthCicero,7/30/1997,7/30/2020
Northwest,12/2/1998,12/2/2021
OgdenPulaski,4/9/2008,12/31/2032
OhioWabash,6/7/2000,12/31/2024
PershingKing,9/5/2007,12/31/2031
PetersonCicero,2/16/2000,12/31/2024
PetersonPulaski,2/16/2000,12/31/2024
Pilsen,6/10/1998,12/31/2022
PortagePark,9/9/1998,9/9/2021
PrattRidge,6/23/2004,12/31/2028
Pulaski,6/9/1999,6/9/2022
RandolphWells,6/9/2010,12/31/2034
Ravenswood,3/9/2005,12/31/2029
ReadDunning,1/11/1991,12/31/2015
RiverSouth,7/30/1997,7/30/2020
RiverWest,1/10/2001,12/31/2025
RooseveltCanal,3/19/1997,12/31/2021
RooseveltCicero,2/5/1998,2/5/2021
RooseveltRacine,11/4/1998,12/31/2022
RooseveltUnion,5/12/1999,5/12/2022
RooseveltHoman,12/5/1990,12/31/2014
RoselandMichigan,1/16/2002,12/31/2026
SanitaryDrainageShipCanal,7/24/1991,12/31/2015
SouthChicago,4/12/2000,12/31/2024
SouthWorks,11/3/1999,12/31/2023
StevensonBrighton,4/11/2007,12/31/2031
StockyardsAnnex,12/11/1996,12/31/2020
Stockyards,3/9/1989,12/31/2013
StockyardsSEQuadrant,2/26/1992,2/26/2015
StonyIslandBurnside,6/10/1998,12/31/2034
TouhyWestern,9/13/2006,12/31/2030
WeedFremont,1/8/2008,12/31/2032
WestGrand,6/10/1996,12/31/2012
WestIrvingPark,1/12/2000,12/31/2024
WestPullman,3/11/1998,3/11/2021
WestWoodlawn,5/12/2010,12/31/2034
WesternNorth,1/12/2000,12/31/2024
WesternRockIsland,2/8/2006,12/31/2030
WesternSouth,1/12/2000,12/31/2024
WesternOgden,2/5/1998,2/5/2021
WilsonYard,6/27/2001,12/31/2025
Woodlawn,1/20/1999,1/20/2022
