tif_name,tif_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
24th/Michigan,2021,72,5417112.0,32844784.0,0.0,153861677.0,9901739.0,26031623.0,0.0,10563973.0,68793.0,0,
26th/King Drive,2021,141,973897.0,10163969.0,0.0,0.0,14268.0,4354155.0,0.0,0.0,0.0,0.0,
35th/State,2021,131,2742330.0,24482128.0,0.0,3500000.0,2266252.0,3628289.0,0.0,0.0,26693.0,0,
35th/Wallace,2021,79,1696617.0,13957715.0,0.0,4500000.0,454618.0,13916565.0,0.0,0.0,16175.0,0,
43rd/Cottage Grove ,2021,55,4668986.0,49001162.0,0.0,0.0,1991726.0,13990153.0,0.0,0.0,47251.0,0,
47th/Ashland,2021,117,3100766.0,42913933.0,0.0,2431313.0,2585005.0,9889434.0,0.0,0.0,33548.0,680810.0,Amalgamated Bank of Chicago
47th/Halsted,2021,121,3939031.0,49109562.0,0.0,3950064.0,1177635.0,18760533.0,0.0,0.0,40255.0,0,
47th/State,2021,136,2538949.0,24984893.0,0.0,0.0,441970.0,16963435.0,0.0,0.0,25527.0,0,
51st/Archer,2021,97,2363909.0,14768156.0,1656159.0,50019353.0,1058459.0,8119189.0,0.0,0.0,25578.0,309995.0,Amalgamated Bank of Chicago
51st/Lake Park,2021,175,1425853.0,5336808.0,0.0,0.0,1228326.0,1622339.0,0.0,0.0,15080.0,0,
53rd Street,2021,105,6690785.0,43096652.0,0.0,0.0,1247727.0,12411073.0,0.0,2027406.0,85318.0,0,
63rd/Ashland,2021,143,1003334.0,10729842.0,0.0,5400000.0,170684.0,5893494.0,0.0,0.0,10070.0,0,
47th/King Drive,2021,118,11625550.0,124047064.0,0.0,0.0,299110.0,47827856.0,0.0,0.0,140182.0,0,
63rd/Pulaski,2021,98,2340139.0,36131448.0,0.0,0.0,321832.0,5074715.0,1656159.0,0.0,24419.0,0,
35th/Halsted,2021,1,12726077.0,104836939.0,0.0,3243618.0,16458755.0,29461743.0,5770000.0,0.0,155915.0,0,
67th/Cicero,2021,124,673712.0,4819373.0,0.0,3284023.0,460720.0,1299193.0,0.0,14244.0,0,0,
67th/Wentworth,2021,174,0.0,0.0,0.0,1175000.0,10082.0,1057131.0,0.0,0.0,0,0,
73rd/University,2021,145,581411.0,6226470.0,0.0,0.0,434402.0,2196028.0,0.0,0.0,0.0,0.0,
71st/Stony Island,2021,60,4587897.0,56917601.0,0.0,65288397.0,2600797.0,10501703.0,0.0,0.0,46027.0,0,
79th/Cicero,2021,140,613291.0,7155535.0,0.0,0.0,584994.0,1034836.0,0.0,0.0,0,0,
79th/Southwest Highway,2021,112,1847884.0,23595443.0,0.0,0.0,147878.0,10245084.0,0.0,0.0,20655.0,0,
79th/Vincennes,2021,155,411243.0,3878187.0,0.0,1000000.0,71986.0,3964792.0,0.0,0.0,0,0,
83rd/Stewart,2021,133,1316653.0,12123451.0,0.0,0.0,1316505.0,1727723.0,0.0,0.0,10206.0,0,
95th/Western,2021,9,1805730.0,19022060.0,0.0,2400000.0,388707.0,3357367.0,0.0,0.0,0.0,0.0,
87th/Cottage Grove,2021,127,2654367.0,33155580.0,0.0,1375000.0,269119.0,9045831.0,0.0,0.0,25072.0,0,
105th/Vincennes,2021,111,1311739.0,8839356.0,0.0,2320284.0,55979.0,4778670.0,0.0,0.0,0.0,0.0,
107th/Halsted,2021,176,519754.0,2777495.0,0.0,1000000.0,244296.0,3409378.0,0.0,0.0,0,0,
79th Street Corridor,2021,56,1275909.0,15428717.0,0.0,0.0,340260.0,7694217.0,0.0,0.0,0.0,0.0,
116th/Avenue O,2021,182,595644.0,627093.0,4512000.0,4512000.0,4522554.0,609005.0,0.0,0.0,0.0,0.0,
111th/Kedzie,2021,73,957051.0,11408223.0,0.0,0.0,400454.0,2361159.0,0.0,0.0,0,0,
119th/Halsted,2021,114,1036352.0,13321360.0,0.0,97500.0,78499.0,6410447.0,0.0,0.0,0,0,
119th/I-57,2021,125,2951978.0,36996534.0,0.0,950000.0,1977787.0,9914123.0,0.0,0.0,29722.0,0,
Addison South,2021,150,6692920.0,46551947.0,0.0,0.0,844558.0,15058560.0,0.0,3527529.0,83605.0,0,
Archer/Central,2021,99,700160.0,11145738.0,0.0,240000.0,471534.0,3022600.0,0.0,1946.0,0.0,0.0,
Archer Courts,2021,67,492798.0,6820884.0,0.0,2235487.0,119191.0,2274455.0,0.0,317703.0,0,0,
Archer/Western,2021,163,1639714.0,4967770.0,5770000.0,7970000.0,2238530.0,6504343.0,0.0,0.0,16444.0,0,
Armitage/Pulaski,2021,151,198411.0,2492927.0,0.0,0.0,306834.0,1052453.0,0.0,0.0,0,0,
Austin Commercial,2021,156,1549122.0,14465405.0,3000000.0,3235000.0,2074015.0,8720794.0,0.0,0.0,15293.0,0,
Avalon Park/South Shore,2021,123,690603.0,9680844.0,0.0,0.0,307648.0,2988102.0,0.0,0.0,0,0,
Avondale,2021,167,205181.0,1163342.0,0.0,2900000.0,122353.0,1498131.0,0.0,0.0,0.0,0.0,
Belmont/Central,2021,81,5750797.0,61661815.0,0.0,938.0,1068022.0,27951248.0,0.0,0.0,72152.0,0,
Belmont/Cicero,2021,82,1341708.0,21156757.0,0.0,0.0,46749.0,7165222.0,0.0,58296.0,14054.0,0,
Bronzeville,2021,61,6126309.0,72695768.0,0.0,10400000.0,1891183.0,38792340.0,0.0,0.0,76097.0,0,
Bryn Mawr/Broadway,2021,13,3413223.0,36434537.0,15289335.0,45567202.0,15722021.0,5762375.0,0.0,3124244.0,33039.0,0,
Canal/Congress,2021,63,45858015.0,418847604.0,0.0,10966931.0,5700685.0,100704376.0,0.0,16287960.0,601265.0,0,
Central West,2021,86,34225840.0,311694510.0,0.0,70617714.0,3773420.0,70060520.0,0.0,15531407.0,429959.0,0,
Chicago/Central Park,2021,115,6863575.0,94197435.0,5036857.0,116980606.0,2594473.0,37667900.0,0.0,0.0,82442.0,2149276.0,Amalgamated Bank of Chicago
Chicago/Kingsbury,2021,94,37902378.0,342363963.0,0.0,0.0,480025.0,32625515.0,0.0,33845864.0,472423.0,0,
Clark/Montrose,2021,70,5100137.0,48557004.0,0.0,2000000.0,2934235.0,10469605.0,0.0,3258308.0,60413.0,0,
Clark/Ridge,2021,74,3842896.0,38638541.0,0.0,3000000.0,1261426.0,12483452.0,0.0,0.0,38118.0,0,
Cicero/Archer,2021,96,912715.0,13759841.0,0.0,0.0,201932.0,5249118.0,0.0,2093727.0,0.0,0.0,
Commercial Avenue,2021,128,2154787.0,24538035.0,0.0,0.0,477036.0,13210351.0,0.0,0.0,21891.0,0,
Cortland/Chicago River,2021,183,4124939.0,7764831.0,61312074.0,61412074.0,367340.0,68779527.0,0.0,0.0,0.0,0.0,
Devon/Sheridan,2021,134,1848000.0,11897085.0,1979212.0,7985709.0,3338746.0,4371914.0,0.0,0.0,18191.0,0,
Diversey/Chicago River ,2021,179,734754.0,1182792.0,0.0,526000.0,8972.0,1386434.0,0.0,0.0,0.0,0.0,
Devon/Western,2021,76,4271548.0,48287388.0,0.0,5140000.0,980058.0,5399956.0,3076677.0,0.0,43585.0,0,
Division/Homan,2021,107,2155873.0,22543417.0,0.0,0.0,2379229.0,9607274.0,0.0,82782.0,22449.0,0,
Diversey/Narragansett,2021,129,3066237.0,35420486.0,0.0,0.0,2171935.0,6303316.0,0.0,0.0,32883.0,0,
Edgewater/Ashland,2021,130,459809.0,9279876.0,0.0,1400000.0,8814.0,6589981.0,0.0,231048.0,0.0,0.0,
Elston/Armstrong Industrial Corridor,2021,153,1189955.0,6487432.0,0.0,0.0,424270.0,3528201.0,0.0,0.0,11316.0,0,
Englewood Mall,2021,21,547652.0,12485152.0,0.0,7545883.0,152036.0,6145726.0,0.0,0.0,0.0,0.0,
Englewood Neighborhood,2021,106,3096110.0,69671849.0,0.0,0.0,1079596.0,23799976.0,0.0,0.0,30881.0,0,
Ewing Avenue,2021,169,330890.0,2489737.0,0.0,6508056.0,16768.0,1646738.0,0.0,0.0,0.0,0.0,
Foster/California,2021,177,-139773.0,554627.0,0.0,6744830.0,2909.0,549177.0,0.0,0.0,0.0,0.0,
Foster/Edens,2021,181,1770206.0,2760697.0,0.0,0.0,28209.0,2757318.0,0.0,0.0,0.0,0.0,
Fullerton/Milwaukee,2021,87,15542246.0,131962492.0,0.0,52044.0,1859167.0,43838482.0,0.0,0.0,189522.0,838892.0,Amalgamated Bank of Chicago
Goose Island,2021,23,8250743.0,86560946.0,21000000.0,31000000.0,707256.0,33994499.0,0.0,9367052.0,112302.0,0,
Galewood/Armitage Industrial,2021,71,5567408.0,52950825.0,0.0,26197449.0,2109279.0,14806848.0,0.0,0.0,68045.0,1108478.0,Amalgamated Bank of Chicago
Greater Southwest Industrial (East),2021,66,1435461.0,15905206.0,0.0,0.0,902280.0,4738841.0,0.0,0.0,15129.0,0,
Greater Southwest Industrial (West),2021,92,230769.0,14458711.0,0.0,976540.0,103169.0,7000409.0,0.0,0.0,0,0,
Harrison/Central,2021,144,266833.0,5143592.0,0.0,7925254.0,100936.0,1259772.0,0.0,0.0,0,0,
Hollywood/Sheridan,2021,157,1554879.0,5638783.0,13368424.0,53456476.0,13322666.0,3936273.0,0.0,0.0,15220.0,0,
Homan/Arthington ,2021,24,760059.0,11509822.0,0.0,1062798.0,105427.0,3037192.0,0.0,366918.0,0,0,
Jefferson Park,2021,57,1978856.0,17559105.0,0.0,3353000.0,835735.0,5988968.0,0.0,0.0,18546.0,0,
Humboldt Park Commercial,2021,108,5775568.0,54979236.0,0.0,0.0,3006194.0,21681072.0,0.0,0.0,68346.0,0,
Jefferson/Roosevelt,2021,101,12452939.0,99196712.0,0.0,12500000.0,528113.0,24476736.0,0.0,0.0,156794.0,0,
Kennedy/Kimball,2021,160,1379144.0,4528317.0,0.0,0.0,159906.0,3855817.0,0.0,0.0,0.0,0.0,
Kinzie Industrial Corridor,2021,52,73894401.0,498424034.0,0.0,0.0,16600391.0,214467921.0,10136857.0,2911943.0,854920.0,0,
Lakefront,2021,119,444345.0,4942145.0,0.0,0.0,500558.0,1592647.0,0.0,170974.0,0,0,
Lake Calumet Area Industrial,2021,103,5887437.0,59153795.0,0.0,4284000.0,378001.0,18326382.0,4512000.0,0.0,72921.0,0,
LaSalle Central,2021,147,151520861.0,638411008.0,0.0,9232000.0,13083474.0,196978275.0,0.0,62844432.0,1920658.32,0,
Lawrence/Broadway,2021,109,6744336.0,63180740.0,18358463.0,60058148.0,18643399.0,28618810.0,575824.0,0.0,84046.0,0,
Lawrence/Kedzie,2021,88,9395519.0,124301328.0,0.0,3500000.0,4471509.0,20540431.0,0.0,1623019.0,112925.0,3966750.0,Zions Bank
Lawrence/Pulaski,2021,116,2517725.0,24936061.0,0.0,2900000.0,380411.0,9867647.0,0.0,0.0,25368.0,0,
Lincoln Avenue,2021,77,4011804.0,52416654.0,0.0,22342064.0,900389.0,9560702.0,0.0,1464045.0,40592.0,0,
Little Village Industrial Corridor,2021,152,1406584.0,3619009.0,0.0,0.0,149886.0,2281039.0,0.0,0.0,14387.0,0,
Madden/Wells,2021,126,1621528.0,16338775.0,0.0,1051820.0,575972.0,5754037.0,0.0,0.0,16810.0,0,
Little Village East ,2021,164,216953.0,777404.0,0.0,1280000.0,499605.0,1251876.0,0.0,0.0,0,0,
Michigan/Cermak,2021,29,3702629.0,25233936.0,0.0,13810000.0,125209.0,5754797.0,0.0,4412537.0,39145.0,0,
Madison/Austin Corridor,2021,75,3358133.0,36290747.0,0.0,64687897.0,158256.0,10926537.0,0.0,0.0,34677.0,0,
Midway Industrial Corridor,2021,89,4815822.0,44970134.0,0.0,0.0,321095.0,8271929.0,0.0,0.0,41244.0,0,
Montclare,2021,102,318031.0,5830389.0,0.0,0.0,265330.0,966838.0,0.0,0.0,0,0,
Midwest,2021,95,17680197.0,242989452.0,5100000.0,17354510.0,5625506.0,59133291.0,800000.0,0.0,214761.0,0,
Montrose/Clarendon,2021,173,1773409.0,4273620.0,0.0,0.0,27294.0,4265683.0,0.0,0.0,20028.0,0,
North Branch North,2021,33,8794749.0,94352245.0,0.0,16180604.0,5399153.0,0.0,52712074.0,1852167.0,114935.0,0,
Near North,2021,30,38267614.0,397610759.0,0.0,3546644.0,7814548.0,99957410.0,0.0,68858463.0,472039.0,0,
North/Cicero,2021,35,1961380.0,24735630.0,0.0,0.0,122075.0,0.0,11231438.0,485868.0,21875.0,0,
North Branch South,2021,34,9269915.0,131516711.0,0.0,2500000.0,276650.0,25864063.0,29600000.0,0.0,126565.0,0,
Northwest Industrial Corridor,2021,64,11669624.0,125348953.0,0.0,521583.0,3002714.0,41960870.0,0.0,0.0,139625.0,0,
Ohio/Wabash,2021,100,2160475.0,28449723.0,0.0,0.0,2047110.0,2210728.0,0.0,0.0,0,0,
North Pullman,2021,166,3506484.0,13425721.0,0.0,18476284.0,3873378.0,6866182.0,0.0,0.0,28563.0,0,
Ogden/Pulaski,2021,161,165653.0,7928487.0,0.0,3485500.0,488863.0,5888884.0,0.0,0.0,0,0,
Peterson/Cicero,2021,90,649073.0,6938861.0,0.0,0.0,94127.0,2140186.0,0.0,0.0,0.0,0.0,
Peterson/Pulaski,2021,91,2093295.0,17959561.0,0.0,0.0,684083.0,5995158.0,0.0,2080899.0,20740.0,0,
Pilsen Industrial Corridor,2021,53,25623906.0,230123633.0,0.0,0.0,9913511.0,64491602.0,0.0,0.0,328968.0,4868625.0,Amalgamated Bank of Chicago
Portage Park,2021,58,4181740.0,48595912.0,0.0,1000000.0,516502.0,11835569.0,0.0,3758528.0,40314.0,0,
Pratt/Ridge Industrial Park Conservation Area,2021,135,854976.0,4514112.0,0.0,0.0,10830.0,3719014.0,0.0,0.0,0.0,0.0,
Pulaski Industrial Corridor,2021,69,6972796.0,62551252.0,0.0,3000000.0,2166522.0,23702272.0,0.0,0.0,85901.0,0,
Randolph/Wells,2021,172,14349414.0,39720662.0,0.0,29632000.0,175555.0,19719624.0,0.0,13113446.0,170996.0,0,
River South,2021,37,22002244.0,307039204.0,0.0,102373006.0,11982153.0,0.0,51075247.0,39449074.0,297361.0,0,
River West,2021,104,28981551.0,263835568.0,0.0,0.0,1193168.0,62378574.0,0.0,20883248.0,382523.0,0,
Roosevelt/Cicero Industrial Corridor,2021,38,5171116.0,49881674.0,0.0,0.0,1614200.0,20112665.0,0.0,441388.0,66685.0,0,
Roosevelt/Clark,2021,184,2257760.0,3779801.0,0.0,2450000.0,644925.0,56643691.0,0.0,0.0,22395.0,0,
Roosevelt/Racine ,2021,62,2737529.0,26531943.0,0.0,11350000.0,1716359.0,7969504.0,0.0,150415.0,28805.0,0,
Roosevelt/Union,2021,68,6975000.0,79822075.0,0.0,0.0,6204097.0,9443773.0,0.0,0.0,83985.0,0,
Roseland/Michigan,2021,113,632237.0,8682066.0,0.0,0.0,167147.0,1421185.0,240135.0,0.0,0,0,
Red Purple Modernization Phase One (Transit TIF),2021,180,55647235.0,174569412.0,0.0,0.0,677769.0,9436792.0,55000027.0,0.0,674860.0,0,
Sanitary and Ship Canal,2021,42,1246684.0,19046176.0,0.0,0.0,619643.0,2885660.0,0.0,0.0,13538.0,0,
South Chicago,2021,93,1437995.0,21186775.0,0.0,0.0,318273.0,7737348.0,0.0,0.0,14062.0,0,
Stevenson Brighton,2021,149,4884167.0,26752006.0,0.0,9300000.0,7331738.0,8825725.0,0.0,0.0,46290.0,0,
Stockyards Southeast Quadrant Industrial,2021,45,2321841.0,46529365.0,0.0,3675608.0,464375.0,10398121.0,0.0,186363.0,26179.0,0,
Stony Island Commercial/Burnside Industrial,2021,54,5567551.0,55278740.0,0.0,0.0,1426710.0,9905091.0,2000000.0,0.0,64806.0,0,
Touhy/Western,2021,146,1060676.0,6689705.0,3076677.0,26902716.0,1606994.0,4701163.0,0.0,0.0,10489.0,1440580.0,"Zions Bank, Amalgamated Bank of Chicago"
Washington Park,2021,178,1783568.0,5788828.0,0.0,6650000.0,65279.0,5714938.0,0.0,0.0,17762.0,0,
West Irving Park,2021,83,1516622.0,18802011.0,0.0,2500000.0,206084.0,6471095.0,0.0,0.0,15869.0,0,
Western Avenue South,2021,85,12468247.0,124406353.0,0.0,250000.0,3541081.0,37638233.0,0.0,10149242.0,148905.0,0,
Western Avenue North,2021,84,11612496.0,107926044.0,0.0,2250000.0,1460709.0,28458480.0,0.0,0.0,146216.0,0,
Western/Rock Island,2021,142,1354603.0,17066278.0,0.0,6031115.0,174199.0,4506507.0,0.0,0.0,14182.0,0,
West Woodlawn,2021,171,85.0,96815.0,0.0,2300000.0,256296.0,743129.0,0.0,0.0,0,0,
Wilson Yard,2021,110,11806561.0,128464288.0,0.0,20473465.0,20742650.0,14476253.0,0.0,0.0,146992.0,0,
Woodlawn,2021,65,4922348.0,54138124.0,0.0,0.0,720366.0,19856036.0,0.0,0.0,59307.0,0,
Western/Ogden,2021,48,14782600.0,140119409.0,0.0,0.0,2266766.0,39585587.0,0.0,0.0,156046.0,0,
